order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit,profit_margin,category,sub_category,description,unit_cost,days_to_ship,order_year,order_month_no,order_day,order_day_name,margin_category
ID-2022-83625,2022-07-28,2022-07-31,Second Class,RS-19420,FUR-BO-10000008,465.156,2,0.4,-255.864,-0.55,Furniture,Bookcases,"Sauder Library with Doors, Traditional",360.51,3,2022,7,3,Thursday,Low
IN-2020-85480,2020-07-31,2020-02-08,First Class,CS-12490,FUR-BO-10000021,243.06,2,0.14984677493347998,102.06,0.4198963218958282,Furniture,Bookcases,"Dania Corner Shelving, Metal",70.5,-174,2020,7,4,Friday,High
IN-2020-21206,2020-07-02,2020-12-02,Standard Class,SC-20800,FUR-BO-10000035,1236.33,3,0.0,519.21,0.4199606901070103,Furniture,Bookcases,"Dania Classic Bookcase, Pine",239.04,153,2020,7,3,Thursday,High
IN-2019-50060,2019-07-09,2019-09-14,Standard Class,MC-17575,FUR-BO-10000035,2472.66,6,0.14984677493347998,1038.42,0.4199606901070103,Furniture,Bookcases,"Dania Classic Bookcase, Pine",239.04,67,2019,7,1,Tuesday,High
IN-2019-25889,2019-08-12,2019-12-12,Standard Class,BP-11185,FUR-BO-10000035,2596.293,7,0.1,923.013,0.35551187789667804,Furniture,Bookcases,"Dania Classic Bookcase, Pine",239.04,122,2019,8,0,Monday,High
IN-2022-23894,2022-02-04,2022-05-04,Second Class,LP-17095,FUR-BO-10000035,766.5246,2,0.07,288.4446,0.38,Furniture,Bookcases,"Dania Classic Bookcase, Pine",239.04,89,2022,2,4,Friday,High
IN-2021-25560,2021-07-26,2021-07-29,First Class,GH-14425,FUR-BO-10000035,1236.33,3,0.0,519.21,0.42,Furniture,Bookcases,"Dania Classic Bookcase, Pine",239.04,3,2021,7,0,Monday,High
IN-2022-66062,2022-01-29,2022-02-02,Standard Class,RB-19705,FUR-BO-10000071,336.6,2,0.0,158.16,0.47,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Metal",89.22,4,2022,1,5,Saturday,High
IN-2021-34401,2021-01-12,2021-05-12,Standard Class,SS-20410,FUR-BO-10000071,504.9,3,0.0,237.24,0.47,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Metal",89.22,120,2021,1,1,Tuesday,High
IN-2021-17048,2021-03-12,2021-09-12,Standard Class,SH-19975,FUR-BO-10000071,530.145,5,0.37,84.045,0.16,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Metal",89.22,184,2021,3,4,Friday,Medium
IN-2019-41394,2019-11-26,2019-01-12,Standard Class,AG-10675,FUR-BO-10000071,546.975,5,0.35,100.875,0.18,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Metal",89.22,-318,2019,11,1,Tuesday,Medium
IN-2022-44376,2022-05-24,2022-05-29,Standard Class,CS-12400,FUR-BO-10000071,454.41,3,0.1,186.75,0.41097246979599916,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Metal",89.22,5,2022,5,1,Tuesday,High
IN-2021-25805,2021-01-10,2021-06-10,Standard Class,HF-14995,FUR-BO-10000071,168.3,1,0.0,79.08,0.47,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Metal",89.22,151,2021,1,6,Sunday,High
IN-2020-57823,2020-06-12,2020-11-12,Standard Class,CR-12625,FUR-BO-10000071,168.3,1,0.0,79.08,0.47,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Metal",89.22,153,2020,6,4,Friday,High
ID-2020-58530,2020-11-28,2020-03-12,Standard Class,ML-18265,FUR-BO-10000071,336.6,2,0.0,158.16,0.47,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Metal",89.22,-261,2020,11,5,Saturday,High
IN-2020-65915,2020-05-06,2020-07-06,Second Class,CC-12145,FUR-BO-10000087,826.56,2,0.0,41.28,0.05,Furniture,Bookcases,"Dania Classic Bookcase, Mobile",392.64,61,2020,5,2,Wednesday,Low
ID-2022-11567,2022-04-06,2022-07-06,First Class,EK-13795,FUR-BO-10000087,260.3664,1,0.37,-132.2736,-0.51,Furniture,Bookcases,"Dania Classic Bookcase, Mobile",392.64,91,2022,4,2,Wednesday,Low
IN-2022-32406,2022-11-26,2022-11-30,Standard Class,MH-17440,FUR-BO-10000087,2066.4,5,0.0,103.2,0.05,Furniture,Bookcases,"Dania Classic Bookcase, Mobile",392.64,4,2022,11,5,Saturday,Low
IN-2022-71235,2022-09-17,2022-09-17,Same Day,NC-18625,FUR-BO-10000112,333.234,3,0.1,66.564,0.2,Furniture,Bookcases,"Dania Corner Shelving, Pine",88.89,0,2022,9,5,Saturday,Medium
ID-2022-37894,2022-07-17,2022-07-17,Same Day,KL-16645,FUR-BO-10000112,148.104,2,0.4,-29.676,-0.2,Furniture,Bookcases,"Dania Corner Shelving, Pine",88.89,0,2022,7,6,Sunday,Low
IN-2020-10125,2020-09-05,2020-12-05,Second Class,AB-10600,FUR-BO-10000112,617.1,5,0.0,172.65,0.28,Furniture,Bookcases,"Dania Corner Shelving, Pine",88.89,91,2020,9,5,Saturday,Medium
