order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit,profit_margin
ID-2022-83625,28/07/2022,31/07/2022,Second Class,RS-19420,FUR-BO-10000008,465.156,2,0.4,-255.864,-0.55
IN-2020-85480,31/07/2020,02/08/2020,First Class,CS-12490,FUR-BO-10000021,243.06,2,,102.06,
IN-2020-21206,07/02/2020,12/02/2020,,SC-20800,FUR-BO-10000035,1236.33,3,0,519.21,
IN-2019-50060,07/09/2019,14/09/2019,,MC-17575,FUR-BO-10000035,2472.66,6,,1038.42,
IN-2019-25889,08/12/2019,12/12/2019,Standard Class,BP-11185,FUR-BO-10000035,2596.293,7,0.1,923.013,
IN-2022-23894,02/04/2022,05/04/2022,Second Class,LP-17095,FUR-BO-10000035,766.5246,2,0.07,288.4446,0.38
IN-2021-25560,26/07/2021,29/07/2021,First Class,GH-14425,FUR-BO-10000035,1236.33,3,0,519.21,0.42
IN-2022-66062,29/01/2022,02/02/2022,Standard Class,RB-19705,FUR-BO-10000071,336.6,2,0,158.16,0.47
IN-2021-34401,01/12/2021,05/12/2021,Standard Class,SS-20410,FUR-BO-10000071,504.9,3,0,237.24,0.47
IN-2021-17048,03/12/2021,09/12/2021,Standard Class,SH-19975,FUR-BO-10000071,530.145,5,0.37,84.045,0.16
IN-2019-41394,26/11/2019,01/12/2019,Standard Class,AG-10675,FUR-BO-10000071,546.975,5,0.35,100.875,0.18
IN-2022-44376,24/05/2022,29/05/2022,,CS-12400,FUR-BO-10000071,454.41,3,0.1,186.75,
IN-2021-25805,01/10/2021,06/10/2021,Standard Class,HF-14995,FUR-BO-10000071,168.3,1,0,79.08,0.47
IN-2020-57823,06/12/2020,11/12/2020,Standard Class,CR-12625,FUR-BO-10000071,168.3,1,0,79.08,0.47
ID-2020-58530,28/11/2020,03/12/2020,Standard Class,ML-18265,FUR-BO-10000071,336.6,2,0,158.16,0.47
IN-2020-65915,05/06/2020,07/06/2020,Second Class,CC-12145,FUR-BO-10000087,826.56,2,0,41.28,0.05
ID-2022-11567,04/06/2022,07/06/2022,First Class,EK-13795,FUR-BO-10000087,260.3664,1,0.37,-132.2736,-0.51
IN-2022-32406,26/11/2022,30/11/2022,Standard Class,MH-17440,FUR-BO-10000087,2066.4,5,0,103.2,0.05
IN-2022-71235,17/09/2022,17/09/2022,Same Day,NC-18625,FUR-BO-10000112,333.234,3,0.1,66.564,0.2
ID-2022-37894,17/07/2022,17/07/2022,Same Day,KL-16645,FUR-BO-10000112,148.104,2,0.4,-29.676,-0.2
IN-2020-10125,09/05/2020,12/05/2020,Second Class,AB-10600,FUR-BO-10000112,617.1,5,0,172.65,0.28
ID-2020-39595,14/01/2020,18/01/2020,Standard Class,TH-21115,FUR-BO-10000112,240.669,3,0.35,-26.001,-0.11
