product_id,category,sub_category,product_name,product_cost_to_consumer
FUR-BO-10000008,Furniture,Bookcases,"Sauder Library with Doors, Traditional",360.51
FUR-BO-10000021,Furniture,Bookcases,"Dania Corner Shelving, Metal",70.5
FUR-BO-10000035,Furniture,Bookcases,"Dania Classic Bookcase, Pine",239.04
FUR-BO-10000071,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Metal",89.22
FUR-BO-10000087,Furniture,Bookcases,"Dania Classic Bookcase, Mobile",392.64
FUR-BO-10000112,Furniture,Bookcases,"Dania Corner Shelving, Pine",88.89
FUR-BO-10000175,Furniture,Bookcases,"Ikea Stackable Bookrack, Metal",87.87
FUR-BO-10000195,Furniture,Bookcases,"Dania Stackable Bookrack, Pine",75.72
FUR-BO-10000203,Furniture,Bookcases,"Sauder Library with Doors, Metal",224.52
FUR-BO-10000208,Furniture,Bookcases,"Bush Stackable Bookrack, Mobile",88.95
FUR-BO-10000210,Furniture,Bookcases,"Ikea Library with Doors, Pine",255.33
FUR-BO-10000243,Furniture,Bookcases,"Safco Floating Shelf Set, Pine",146.61
FUR-BO-10000288,Furniture,Bookcases,"Safco Classic Bookcase, Traditional",425.01
FUR-BO-10000321,Furniture,Bookcases,"Dania Floating Shelf Set, Mobile",108.3
FUR-BO-10000402,Furniture,Bookcases,"Sauder Stackable Bookrack, Traditional",124.35
FUR-BO-10000425,Furniture,Bookcases,"Bush Floating Shelf Set, Traditional",125.04
FUR-BO-10000610,Furniture,Bookcases,"Ikea Stackable Bookrack, Mobile",63.81
FUR-BO-10000616,Furniture,Bookcases,"Dania Corner Shelving, Pine",88.89
FUR-BO-10000623,Furniture,Bookcases,"Safco Library with Doors, Metal",342.54
FUR-BO-10000655,Furniture,Bookcases,"Dania Classic Bookcase, Traditional",340.95
FUR-BO-10000666,Furniture,Bookcases,"Ikea 3-Shelf Cabinet, Mobile",124.68
FUR-BO-10000668,Furniture,Bookcases,"Sauder Classic Bookcase, Mobile",385.89
FUR-BO-10000670,Furniture,Bookcases,"Dania Corner Shelving, Metal",70.5
FUR-BO-10000676,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",119.73
FUR-BO-10000699,Furniture,Bookcases,"Sauder 3-Shelf Cabinet, Traditional",148.35
FUR-BO-10000700,Furniture,Bookcases,"Sauder Floating Shelf Set, Metal",164.94
FUR-BO-10000712,Furniture,Bookcases,"Bush Corner Shelving, Pine",68.94
FUR-BO-10000807,Furniture,Bookcases,"Sauder Floating Shelf Set, Mobile",124.2
FUR-BO-10000883,Furniture,Bookcases,"Dania Corner Shelving, Mobile",123.36
FUR-BO-10000889,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Mobile",145.68
FUR-BO-10000892,Furniture,Bookcases,"Bush Corner Shelving, Mobile",123.99
FUR-BO-10000895,Furniture,Bookcases,"Sauder Stackable Bookrack, Pine",92.61
FUR-BO-10000961,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",79.92
FUR-BO-10000980,Furniture,Bookcases,"Bush Library with Doors, Traditional",233.19
FUR-BO-10001073,Furniture,Bookcases,"Safco Classic Bookcase, Metal",354.48
FUR-BO-10001147,Furniture,Bookcases,"Bush Floating Shelf Set, Metal",126.36
FUR-BO-10001155,Furniture,Bookcases,"Dania 3-Shelf Cabinet, Traditional",132.99
FUR-BO-10001192,Furniture,Bookcases,"Bush Library with Doors, Mobile",209.1
FUR-BO-10001196,Furniture,Bookcases,"Bush Library with Doors, Pine",277.92
FUR-BO-10001212,Furniture,Bookcases,"Safco Classic Bookcase, Mobile",392.22
FUR-BO-10001216,Furniture,Bookcases,"Sauder 3-Shelf Cabinet, Mobile",101.52
FUR-BO-10001233,Furniture,Bookcases,"Ikea 3-Shelf Cabinet, Mobile",124.68
FUR-BO-10001254,Furniture,Bookcases,"Dania 3-Shelf Cabinet, Mobile",143.97
FUR-BO-10001255,Furniture,Bookcases,"Ikea Library with Doors, Mobile",314.7
FUR-BO-10001309,Furniture,Bookcases,"Ikea Classic Bookcase, Traditional",325.29
FUR-BO-10001326,Furniture,Bookcases,"Bush 3-Shelf Cabinet, Pine",120.12
FUR-BO-10001342,Furniture,Bookcases,"Safco Corner Shelving, Metal",148.92
FUR-BO-10001362,Furniture,Bookcases,"Ikea Classic Bookcase, Metal",349.53
FUR-BO-10001370,Furniture,Bookcases,"Sauder Classic Bookcase, Mobile",385.89
FUR-BO-10001372,Furniture,Bookcases,"Safco Classic Bookcase, Pine",408.75
FUR-BO-10001385,Furniture,Bookcases,"Sauder Corner Shelving, Metal",82.2
FUR-BO-10001393,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Pine",151.47
FUR-BO-10001452,Furniture,Bookcases,"Dania Stackable Bookrack, Pine",75.72
FUR-BO-10001461,Furniture,Bookcases,"Safco Floating Shelf Set, Traditional",98.37
FUR-BO-10001471,Furniture,Bookcases,"Sauder Classic Bookcase, Metal",226.44
FUR-BO-10001501,Furniture,Bookcases,"Bush Classic Bookcase, Metal",234.93
FUR-BO-10001541,Furniture,Bookcases,"Bush Stackable Bookrack, Traditional",113.16
FUR-BO-10001558,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Pine",151.47
FUR-BO-10001580,Furniture,Bookcases,"Dania Stackable Bookrack, Pine",102.06
FUR-BO-10001585,Furniture,Bookcases,"Sauder Floating Shelf Set, Mobile",124.2
FUR-BO-10001598,Furniture,Bookcases,"Bush Corner Shelving, Pine",68.94
FUR-BO-10001641,Furniture,Bookcases,"Bush 3-Shelf Cabinet, Traditional",93.21
FUR-BO-10001668,Furniture,Bookcases,"Ikea Floating Shelf Set, Pine",164.85
FUR-BO-10001679,Furniture,Bookcases,"Ikea 3-Shelf Cabinet, Traditional",82.62
FUR-BO-10001708,Furniture,Bookcases,"Safco Stackable Bookrack, Pine",121.2
FUR-BO-10001746,Furniture,Bookcases,"Dania 3-Shelf Cabinet, Pine",94.26
FUR-BO-10001749,Furniture,Bookcases,"Bush Classic Bookcase, Traditional",387.93
FUR-BO-10001753,Furniture,Bookcases,"Dania Stackable Bookrack, Traditional",67.8
FUR-BO-10001822,Furniture,Bookcases,"Dania Library with Doors, Metal",351.03
FUR-BO-10001835,Furniture,Bookcases,"Safco Library with Doors, Traditional",288.45
FUR-BO-10001860,Furniture,Bookcases,"Sauder Corner Shelving, Traditional",94.29
FUR-BO-10001872,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",79.92
FUR-BO-10001874,Furniture,Bookcases,"Sauder Corner Shelving, Pine",121.92
FUR-BO-10001875,Furniture,Bookcases,"Bush Library with Doors, Mobile",209.1
FUR-BO-10001934,Furniture,Bookcases,"Bush Library with Doors, Metal",334.68
FUR-BO-10001967,Furniture,Bookcases,"Safco Corner Shelving, Mobile",135.27
FUR-BO-10002000,Furniture,Bookcases,"Ikea Classic Bookcase, Metal",349.53
FUR-BO-10002031,Furniture,Bookcases,"Sauder Classic Bookcase, Pine",341.13
FUR-BO-10002032,Furniture,Bookcases,"Ikea Stackable Bookrack, Pine",94.2
FUR-BO-10002204,Furniture,Bookcases,"Dania Floating Shelf Set, Traditional",94.86
FUR-BO-10002277,Furniture,Bookcases,"Bush Floating Shelf Set, Mobile",165.12
FUR-BO-10002285,Furniture,Bookcases,"Safco Corner Shelving, Pine",126.69
FUR-BO-10002289,Furniture,Bookcases,"Ikea Corner Shelving, Pine",94.56
FUR-BO-10002300,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Mobile",145.68
FUR-BO-10002308,Furniture,Bookcases,"Safco Floating Shelf Set, Metal",156.96
FUR-BO-10002387,Furniture,Bookcases,"Safco Library with Doors, Metal",342.54
FUR-BO-10002390,Furniture,Bookcases,"Ikea Library with Doors, Metal",330.21
FUR-BO-10002423,Furniture,Bookcases,"Safco Floating Shelf Set, Mobile",141.48
FUR-BO-10002444,Furniture,Bookcases,"Sauder Library with Doors, Mobile",261.42
FUR-BO-10002462,Furniture,Bookcases,"Ikea Classic Bookcase, Pine",404.85
FUR-BO-10002510,Furniture,Bookcases,"Bush 3-Shelf Cabinet, Mobile",126.93
FUR-BO-10002682,Furniture,Bookcases,"Safco Stackable Bookrack, Mobile",131.13
FUR-BO-10002736,Furniture,Bookcases,"Sauder Stackable Bookrack, Mobile",123.33
FUR-BO-10002738,Furniture,Bookcases,"Sauder Corner Shelving, Mobile",145.35
FUR-BO-10002793,Furniture,Bookcases,"Safco Floating Shelf Set, Traditional",98.37
FUR-BO-10002819,Furniture,Bookcases,"Ikea Stackable Bookrack, Traditional",87.06
FUR-BO-10002852,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",119.73
FUR-BO-10002866,Furniture,Bookcases,"Safco Classic Bookcase, Pine",408.75
FUR-BO-10002964,Furniture,Bookcases,"Dania Floating Shelf Set, Pine",150.24
FUR-BO-10002990,Furniture,Bookcases,"Dania Library with Doors, Traditional",195.72
FUR-BO-10003022,Furniture,Bookcases,"Dania 3-Shelf Cabinet, Metal",91.62
FUR-BO-10003029,Furniture,Bookcases,"Sauder Library with Doors, Traditional",360.51
FUR-BO-10003046,Furniture,Bookcases,"Safco Library with Doors, Mobile",274.62
FUR-BO-10003078,Furniture,Bookcases,"Safco Corner Shelving, Traditional",92.67
FUR-BO-10003086,Furniture,Bookcases,"Safco Library with Doors, Traditional",288.45
FUR-BO-10003181,Furniture,Bookcases,"Safco Corner Shelving, Metal",148.92
FUR-BO-10003185,Furniture,Bookcases,"Ikea Floating Shelf Set, Metal",168.12
FUR-BO-10003206,Furniture,Bookcases,"Sauder Floating Shelf Set, Pine",176.34
FUR-BO-10003282,Furniture,Bookcases,"Ikea Classic Bookcase, Mobile",281.73
FUR-BO-10003301,Furniture,Bookcases,"Dania Floating Shelf Set, Metal",135.06
FUR-BO-10003383,Furniture,Bookcases,"Safco Floating Shelf Set, Mobile",141.48
FUR-BO-10003384,Furniture,Bookcases,"Ikea Corner Shelving, Traditional",89.85
FUR-BO-10003386,Furniture,Bookcases,"Sauder 3-Shelf Cabinet, Mobile",101.52
FUR-BO-10003408,Furniture,Bookcases,"Ikea 3-Shelf Cabinet, Metal",113.52
FUR-BO-10003549,Furniture,Bookcases,"Sauder Floating Shelf Set, Metal",164.94
FUR-BO-10003589,Furniture,Bookcases,"Dania Floating Shelf Set, Traditional",94.86
FUR-BO-10003661,Furniture,Bookcases,"Sauder Floating Shelf Set, Traditional",145.95
FUR-BO-10003668,Furniture,Bookcases,"Sauder Floating Shelf Set, Pine",176.34
FUR-BO-10003706,Furniture,Bookcases,"Sauder Stackable Bookrack, Pine",77.07
FUR-BO-10003713,Furniture,Bookcases,"Sauder Corner Shelving, Mobile",145.35
FUR-BO-10003783,Furniture,Bookcases,"Dania Library with Doors, Pine",298.29
FUR-BO-10003793,Furniture,Bookcases,"Bush 3-Shelf Cabinet, Metal",80.01
FUR-BO-10003887,Furniture,Bookcases,"Ikea Floating Shelf Set, Traditional",163.53
FUR-BO-10003913,Furniture,Bookcases,"Safco Stackable Bookrack, Pine",135.3
FUR-BO-10003945,Furniture,Bookcases,"Sauder 3-Shelf Cabinet, Metal",91.38
FUR-BO-10003985,Furniture,Bookcases,"Sauder Classic Bookcase, Traditional",274.68
FUR-BO-10004043,Furniture,Bookcases,"Dania Classic Bookcase, Metal",402.03
FUR-BO-10004161,Furniture,Bookcases,"Bush Corner Shelving, Mobile",123.99
FUR-BO-10004230,Furniture,Bookcases,"Bush Corner Shelving, Metal",72.84
FUR-BO-10004312,Furniture,Bookcases,"Bush Floating Shelf Set, Traditional",125.04
FUR-BO-10004399,Furniture,Bookcases,"Bush Floating Shelf Set, Pine",162.27
FUR-BO-10004404,Furniture,Bookcases,"Ikea 3-Shelf Cabinet, Pine",113.61
FUR-BO-10004434,Furniture,Bookcases,"Ikea Library with Doors, Traditional",352.5
