Date,Open,High,Low,Close,Volume
2021-01-29,135.83,136.74,130.21,131.96,177523812
2021-02-01,133.75,135.38,130.93,134.14,106239797
2021-02-02,135.73,136.31,134.61,134.99,83305367
2021-02-03,135.76,135.77,133.61,133.94,89880945
2021-02-04,136.3,137.4,134.59,137.39,84183055
2021-02-05,137.35,137.42,135.86,136.76,75693828
2021-02-08,136.03,136.96,134.92,136.91,71297211
2021-02-09,136.62,137.877,135.85,136.01,76774211
2021-02-10,136.48,136.99,134.4,135.39,73046562
2021-02-11,135.9,136.39,133.77,135.13,64280031
2021-02-12,134.35,135.53,133.6921,135.37,60145129
2021-02-16,135.49,136.01,132.79,133.19,80576320
2021-02-17,131.25,132.22,129.47,130.84,98085250
2021-02-18,129.2,129.995,127.41,129.71,96856750
2021-02-19,130.24,130.71,128.8,129.87,87668828
2021-02-22,128.01,129.72,125.6,126,103916398
2021-02-23,123.76,126.71,118.39,125.86,158272984
2021-02-24,124.94,125.56,122.23,125.35,111039906
2021-02-25,124.68,126.4585,120.54,120.99,148199500
2021-02-26,122.59,124.85,121.2,121.26,164560406
2021-03-01,123.75,127.93,122.79,127.79,116307906
2021-03-02,128.41,128.72,125.01,125.12,102260898
2021-03-03,124.81,125.71,121.84,122.06,112966305
2021-03-04,121.75,123.6,118.62,120.13,178155016
2021-03-05,120.98,121.935,117.57,121.42,153766594
2021-03-08,120.93,121,116.21,116.36,154376609
2021-03-09,119.03,122.06,118.79,121.085,129525797
2021-03-10,121.69,122.17,119.45,119.98,111943297
2021-03-11,122.54,123.21,121.26,121.96,103026492
2021-03-12,120.4,121.17,119.16,121.03,88105047
2021-03-15,121.41,124,120.42,123.99,92590562
2021-03-16,125.7,127.22,124.715,125.57,115227906
2021-03-17,124.05,125.8599,122.336,124.76,111932602
2021-03-18,122.88,123.18,120.32,120.53,121469797
2021-03-19,119.9,121.43,119.675,119.99,185549500
2021-03-22,120.33,123.87,120.26,123.39,111912305
2021-03-23,123.33,124.24,122.14,122.54,95467133
2021-03-24,122.82,122.9,120.065,120.09,88530484
2021-03-25,119.54,121.66,119,120.59,98844680
2021-03-26,120.35,121.48,118.92,121.21,94071234
2021-03-29,121.65,122.58,120.7299,121.39,80819203
